TTD Target ID	Target Name	Target Type	Uniprot ID
TTDC00042	Matrix metalloproteinase-14	Clinical trial target	P50281
TTDC00043	Neuropeptide Y receptor type 4	Clinical trial target	P50391
TTDC00044	MAP kinase p38	Clinical trial target	P53778
TTDC00045	Ephrin type-B receptor 4	Clinical trial target	P54760
TTDC00046	Nuclear factor NF-kappa-B	Clinical trial target	Q00653
TTDC00048	Induced myeloid leukemia cell differentiation protein Mcl-1	Clinical trial target	Q07820
TTDC00049	Transient receptor potential cation channel subfamily V member 1	Clinical trial target	Q8NER1
TTDC00050	Glucose-dependent insulinotropic receptor	Clinical trial target	Q8TDV5
TTDC00051	Gamma-secretase	Clinical trial target	Q8WW43
TTDC00052	NAD-dependent deacetylase sirtuin-1	Clinical trial target	Q96EB6
TTDC00053	Carboxypeptidase B2	Clinical trial target	Q96IY4
TTDC00054	Hypoxia-inducible factor-prolyl hydroxylase	Clinical trial target	Q96KS0
TTDC00055	Telomerase protein component 1	Clinical trial target	Q99973
TTDC00056	Toll-like receptor 8	Clinical trial target	Q9NR97
TTDC00057	Sphingomyelin phosphodiesterase 4	Clinical trial target	Q9NXE4
TTDC00058	Sphingosine kinase; Sphingosine kinase 2	Clinical trial target	Q9NRA0
TTDC00059	Serine/threonine-protein kinase 13	Clinical trial target	Q9UQB9
TTDC00060	Heparanase	Successful target	Q9Y251
TTDC00061	Voltage-dependent anion-selective channel protein 3	Clinical trial target	Q9Y277
TTDC00062	5-lipoxygenase activating protein	Clinical trial target	P20292
TTDC00063	Nitric-oxide synthase, brain	Clinical trial target	P29475
TTDC00064	Centromeric protein E	Clinical trial target	Q02224
TTDC00065	Farnesyltransferase	Clinical trial target	P49354; Q8IHP6
TTDC00066	Protein kinase C, epsilon type	Clinical trial target	Q02156
TTDC00067	Cathepsin S	Clinical trial target	P25774
TTDC00068	Cathepsin K	Clinical trial target	P43235
TTDC00069	Peroxisome proliferator activated receptor delta	Clinical trial target	Q03181
TTDC00070	Corticosteroid 11-beta-dehydrogenase, isozyme 1	Clinical trial target	P28845
TTDC00071	Proteinase activated receptor 1	Clinical trial target	P25116
TTDC00072	Melanocortin-4 receptor	Clinical trial target	P32245
TTDC00073	Corticotropin releasing factor receptor 1	Clinical trial target	P34998
TTDC00074	Corticotropin releasing factor receptor 2	Clinical trial target	Q13324
TTDC00075	Thioredoxin	Clinical trial target	P10599
TTDC00076	92 kDa type IV collagenase	Clinical trial target	P14780
TTDC00077	Protein kinase C, delta type	Clinical trial target	Q05655
TTDC00078	Coagulation factor IX	Clinical trial target	P00740
TTDC00079	Histamine H3 receptor	Clinical trial target	Q9Y5N1
TTDC00080	Interleukin-6	Clinical trial target	P05231
TTDC00081	Interleukin-4 receptor alpha chain	Clinical trial target	P24394
TTDC00082	Cholecystokinin type A receptor	Clinical trial target	P32238
TTDC00084	Tyrosine-protein kinase JAK3	Successful target	P52333
TTDC00085	Complement C1s component	Successful target	P09871
TTDC00086	Thromboxane-A synthase	Clinical trial target	P24557
TTDC00087	High affinity interleukin-8 receptor B	Clinical trial target	P25025
TTDC00088	Cell division protein kinase 2	Clinical trial target	P24941
TTDC00089	Neuropeptide Y receptor type 5	Clinical trial target	Q15761
TTDC00090	Substance-K receptor	Clinical trial target	P21452
TTDC00091	Purine nucleoside phosphorylase	Clinical trial target	P00491; Q8T9Z7
TTDC00093	Calcitonin gene-related peptide type 1 receptor	Clinical trial target	Q16602
TTDC00094	Cell division protein kinase 7	Clinical trial target	P50613
TTDC00095	Cell division protein kinase 9	Clinical trial target	P50750
TTDC00096	Interferon gamma	Clinical trial target	P01579
TTDC00097	Nitric-oxide synthase, endothelial	Clinical trial target	P29474
TTDC00098	E-selectin	Clinical trial target	P16581
TTDC00099	Glycogen phosphorylase, muscle form	Clinical trial target	P11217
TTDC00100	Metabotropic glutamate receptor 5	Clinical trial target	P41594
TTDC00101	Hypoxia-inducible factor 1 alpha	Clinical trial target	Q16665
TTDC00102	Mitogen-activated protein kinase 8	Clinical trial target	P45983
TTDC00103	Macrophage migration inhibitory factor	Clinical trial target	P14174
TTDC00104	72 kDa type IV collagenase	Clinical trial target	P08253
TTDC00105	Stromelysin-1	Clinical trial target	P08254
TTDC00106	Farnesyl-diphosphate farnesyltransferase	Clinical trial target	P37268
TTDC00107	Toll-like receptor 9	Clinical trial target	Q9NR96
TTDC00108	Von Willebrand factor	Clinical trial target	P04275
TTDC00110	Hepatocyte growth factor receptor	Successful target	P08581
TTDC00111	B2 bradykinin receptor	Clinical trial target	P30411
TTDC00112	Somatostatin receptor type 1	Clinical trial target	P30872
TTDC00113	STAT-1 transcription factor	Clinical trial target	P42224
TTDC00114	Receptor protein-tyrosine kinase erbB-4	Clinical trial target	Q15303
TTDC00116	Platelet-activating factor acetylhydrolase	Clinical trial target	Q13093
TTDC00117	Nigral tachykinin NK(3) receptor	Clinical trial target	P29371
TTDC00118	Cellular tumor antigen p53	Clinical trial target	P04637
TTDC00119	Transcription factor AP-1	Clinical trial target	P05412
TTDC00120	Protein-glutamine gamma-glutamyltransferase	Clinical trial target	P21980
TTDC00121	C-X-C chemokine receptor type 4	Successful target	P61073
TTDC00122	C-C chemokine receptor type 2	Clinical trial target	P41597
TTDC00123	Microsomal triglyceride transfer protein, large subunit	Clinical trial target	P55157
TTDC00124	Cholesteryl ester transfer protein	Clinical trial target	P11597
TTDC00125	C-X-C chemokine receptor type 3	Clinical trial target	P49682
TTDC00126	Metabotropic glutamate receptor 3	Clinical trial target	Q14832
TTDC00127	Growth hormone secretagogue receptor type 1	Clinical trial target	Q92847
TTDC00128	Potassium voltage-gated channel subfamily KQT member 3	Clinical trial target	O43525
TTDC00129	Leukotriene B4 receptor 1	Clinical trial target	Q15722
TTDC00130	Leukotriene A-4 hydrolase	Clinical trial target	P09960
TTDC00131	Fibroblast growth factor receptor 3	Clinical trial target	P22607
TTDC00132	RAC-alpha serine/threonine kinase; AkT	Clinical trial target	P31749
TTDC00133	Melanin-concentrating hormone receptor 1	Clinical trial target	Q99705
TTDC00134	Heme oxygenase 1	Clinical trial target	P09601
TTDC00135	B-lymphocyte antigen CD19	Clinical trial target	P15391
TTDC00136	Interleukin-7 receptor alpha chain	Clinical trial target	P16871
TTDC00137	Neural-cadherin	Clinical trial target	P19022
TTDC00138	NRH dehydrogenase [quinone] 2	Clinical trial target	P16083
TTDC00139	Serine/threonine protein kinase 12	Clinical trial target	Q96GD4
TTDC00140	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform	Clinical trial target	P48736
TTDC00141	Hexokinase D	Clinical trial target	P35557
TTDC00142	mRNA of Clusterin	Clinical trial target	P10909
TTDC00143	Kinesin-like protein KIF11	Clinical trial target	P52732
TTDC00144	Neurotensin receptor type 1	Clinical trial target	P30989
TTDC00145	Ribosomal protein S6 kinase	Clinical trial target	P23443
TTDC00147	Interstitial collagenase	Clinical trial target	P03956
TTDC00148	Integrin beta-1	Clinical trial target	P05556
TTDC00149	Steryl-sulfatase	Clinical trial target	P08842
TTDC00150	Collagenase 3	Clinical trial target	P45452
TTDC00151	Prostaglandin E2 receptor, EP4 subtype	Clinical trial target	P35408
TTDC00152	Fructose-1,6-bisphosphatase	Clinical trial target	P09467
TTDC00153	Orexin receptor type 1	Clinical trial target	O43613
TTDC00155	Motilin receptor	Clinical trial target	O43193
TTDC00156	Tyrosine-protein kinase SYK	Clinical trial target	P43405
TTDC00157	Macrophage metalloelastase	Clinical trial target	P39900
TTDC00158	Sodium/glucose cotransporter 2	Successful target	Q9NY91
TTDC00159	Histone deacetylase 4	Clinical trial target	P56524
TTDC00160	Serine/threonine-protein kinase PLK1	Clinical trial target	P53350
TTDC00161	Angiopoietin 1 receptor	Discontinued target	Q02763
TTDC00162	Glycogen synthase kinase-3 beta	Clinical trial target	P49841
TTDC00163	Protein kinase C, beta type	Clinical trial target	P05771
TTDC00165	Cell division protein kinase 4	Clinical trial target	P11802
TTDC00166	Cell division control protein 2 homolog	Clinical trial target	P06493
TTDC00168	Antiapoptotic protein BCL-XL	Clinical trial target	Q07817
TTDC00169	Cell division protein kinase 6	Clinical trial target	Q00534
TTDC00171	Guanylyl cyclase C	Clinical trial target	P25092
TTDC00176	Placenta growth factor	Clinical trial target	P49763
TTDC00177	Interleukin-13	Clinical trial target	P35225
TTDC00178	Protein kinase C, theta type	Clinical trial target	Q04759
TTDC00179	P2Y purinoceptor 2	Clinical trial target	P41231
TTDC00180	Amyloid beta A4 protein	Successful target	Q96BI3; Q8WW43; Q9NZ42; Q92542; P49768
TTDC00182	Protein kinase C, alpha type	Clinical trial target	P17252
TTDC00183	Neuropilin-1	Clinical trial target	O14786
TTDC00184	Beta-3 adrenergic receptor	Successful target	P13945
TTDC00185	5-hydroxytryptamine 6 receptor	Clinical trial target	P50406
TTDC00186	Interleukin-9	Clinical trial target	P15248
TTDC00187	Tyrosine-protein kinase JAK2	Clinical trial target	O60674
TTDC00188	Tumor necrosis factor receptor superfamily member 5	Clinical trial target	P25942
TTDC00189	Tumor necrosis factor receptor superfamily member 16	Clinical trial target	P08138
TTDC00190	High affinity interleukin-8 receptor A	Clinical trial target	P25024
TTDC00191	mRNA of Protein-tyrosine phosphatase, non-receptor type 1	Clinical trial target	P18031
TTDC00192	mRNA of Intercellular adhesion molecule-1	Clinical trial target	P05362
TTDC00193	Neuropeptide Y receptor type 1	Clinical trial target	P25929
TTDC00194	Hepatocyte growth factor	Clinical trial target	P14210
TTDC00195	Telomerase	Clinical trial target	Q37967
TTDC00196	Tumor necrosis factor ligand superfamily member 13B	Clinical trial target	Q9Y275
TTDC00197	P-selectin	Clinical trial target	P16109
TTDC00198	HCV polymerase	Clinical trial target	Q68929
TTDC00199	Myeloperoxidase	Clinical trial target	P05164
TTDC00200	NAD(P)H dehydrogenase [quinone] 1	Clinical trial target	P15559
TTDC00201	Mitogen-activated protein kinase 14	Clinical trial target	Q16539
TTDC00202	Rho-associated protein kinase 1	Clinical trial target	Q13464
TTDC00204	Vasoactive intestinal polypeptide receptor 1	Clinical trial target	P32241
TTDC00205	Glucagon-like peptide 1	Successful target	P01275 (92-128)
TTDC00206	Ubiquitin-protein ligase E3 Mdm2	Successful target	Q00987
TTDC00207	C-C chemokine receptor type 3	Clinical trial target	P51677
TTDC00208	T-cell-specific surface glycoprotein CD28	Successful target	P10747
TTDC00209	Toll-like receptor 4	Clinical trial target	O00206
TTDC00210	Angiopoietin-2	Clinical trial target	O15123
TTDC00211	HIV integrase	Successful target	P03366 (1160-1447)
TTDC00213	Connective tissue growth factor	Clinical trial target	P29279
TTDC00214	Interleukin-17	Clinical trial target	Q16552
TTDC00215	C-C chemokine receptor type 1	Clinical trial target	P32246
TTDC00216	mRNA of C-reactive protein	Clinical trial target	P02741
TTDC00217	Interleukin-5 receptor	Clinical trial target	Q14633
TTDC00218	P2X purinoceptor 7	Clinical trial target	Q99572
TTDC00219	Tumor necrosis factor receptor superfamily member 4	Clinical trial target	P43489
TTDC00220	Metabotropic glutamate receptor 1	Clinical trial target	Q13255
TTDC00221	Interleukin-18	Clinical trial target	Q14116
TTDC00222	Inhibitor of nuclear factor kappa-B kinase	Clinical trial target	O14920; O15111; Q14164
TTDC00224	Tumor necrosis factor ligand superfamily member 11	Successful target	O14788
TTDC00225	Macrophage inflammatory protein-2-alpha	Clinical trial target	P19875
TTDC00226	C-C chemokine receptor type 4	Clinical trial target	P51679
TTDC00227	Sodium- and chloride-dependent glycine transporter 1	Clinical trial target	P48067
TTDC00228	mRNA of Eukaryotic translation initiation factor 4E	Clinical trial target	P06730
TTDC00230	Gastrin-releasing peptide receptor	Clinical trial target	P30550
TTDC00231	G-protein coupled receptor 54	Clinical trial target	Q969F8
TTDC00232	Cytochrome P450 26	Clinical trial target	O43174
TTDC00234	Interleukin-1 receptor, type II	Clinical trial target	P27930
TTDC00237	Putative G-protein coupled receptor 44	Clinical trial target	Q9Y5Y4
TTDC00238	EGF-like domain-containing protein 7	Clinical trial target	Q9UHF1
TTDC00239	Neuronal acetylcholine receptor subunit alpha-9	Clinical trial target	Q9UGM1
TTDC00240	Voltage-dependent calcium channel subunit alpha-2/delta-2	Clinical trial target	Q9NY47
TTDC00241	mRNA of HIF-1 responsive protein RTP801	Clinical trial target	Q9NX09
TTDC00242	Neuronal acetylcholine receptor subunit alpha-10	Clinical trial target	Q9GZZ6
TTDC00243	Solute carrier family 22 member 12	Clinical trial target	Q96S37
TTDC00244	Bcl-2-like protein 2	Clinical trial target	Q92843
TTDC00245	NEDD8-activating enzyme E1 catalytic subunit	Clinical trial target	Q8TBC4
TTDC00246	Synaptic vesicle glycoprotein 2A	Clinical trial target	Q7L0J3
TTDC00247	Angiopoietin-1	Clinical trial target	Q15389
TTDC00248	Mucosal addressin cell adhesion molecule 1	Clinical trial target	Q13477
TTDC00249	Puromycin-sensitive aminopeptidase	Clinical trial target	P55786
TTDC00250	Glutamate receptor 1	Clinical trial target	P42261
TTDC00251	Interleukin-15	Clinical trial target	P40933
TTDC00252	Pigment epithelium-derived factor	Clinical trial target	P36955
TTDC00253	Somatostatin receptor type 5	Clinical trial target	P35346
TTDC00254	Somatostatin receptor type 3	Clinical trial target	P32745
TTDC00255	Sodium-dependent serotonin transporter	Clinical trial target	P31645
TTDC00256	Wee1-like protein kinase	Clinical trial target	P30291
TTDC00257	Ciliary neurotrophic factor receptor alpha	Clinical trial target	P26992
TTDC00258	Sphingosine 1-phosphate receptor 1	Successful target	P21453
TTDC00259	Cytotoxic T-lymphocyte protein 4	Successful target	P16410
TTDC00260	Sodium/glucose cotransporter 1	Clinical trial target	P13866
TTDC00263	Macrophage colony-stimulating factor 1	Clinical trial target	P09603
TTDC00264	Beta-2-glycoprotein 1	Clinical trial target	P02749
TTDC00265	T-cell surface glycoprotein CD4	Clinical trial target	P01730
TTDC00266	Tumor necrosis factor receptor superfamily member 10B	Clinical trial target	O14763
TTDC00267	Tumor necrosis factor receptor superfamily member 10A	Discontinued target	O00220
TTDC00269	mRNA of Heat shock 27 kDa protein	Clinical trial target	P04792
TTDC00271	Myc proto-oncogene protein	Clinical trial target	P01106
TTDC00272	Transforming growth factor beta 2	Clinical trial target	P61812
TTDC00273	Baculoviral IAP repeat-containing protein 5	Clinical trial target	O15392
TTDC00279	mRNA of respiratory syncytial virus nucleocapsid protein	Clinical trial target	P15130
TTDC00280	mRNA of Inhibitor of apoptosis protein	Clinical trial target	P98170
TTDC00281	MARK3	Clinical trial target	P27448
TTDC00290	Vascular endothelial growth factor receptor 3	Successful target	P35916
TTDC00291	D(4) dopamine receptor	Clinical trial target	P21917
TTDC00292	Alpha-1A adrenergic receptor	Clinical trial target	P35348
TTDC00293	Alpha-2B adrenergic receptor	Clinical trial target	P18089
TTDC00295	Triacylglycerol lipase, pancreatic	Clinical trial target	P16233
TTDC00298	Vasopressin V1b receptor	Clinical trial target	P47901
TTDC00299	Glutamate [NMDA] receptor subunit epsilon 2	Clinical trial target	Q13224
TTDC00301	Neuronal acetylcholine receptor protein, beta-2 chain	Clinical trial target	P17787
TTDC00303	Potassium voltage-gated channel subfamily A member 5	Clinical trial target	P22460
TTDC00304	Sodium-dependent noradrenaline transporter	Successful target	P23975
TTDC00307	FK506-binding protein 1A	Clinical trial target	P20071
TTDC00310	mRNA of RAF proto-oncogene serine/threonine-protein kinase	Clinical trial target	P04049
TTDC00311	Alpha platelet-derived growth factor receptor	Clinical trial target	P16234
TTDC00312	Urokinase-type plasminogen activator	Clinical trial target	P00749
TTDC00313	Acetyl-CoA acetyltransferase, mitochondrial	Clinical trial target	P24752
TTDC00314	Cannabinoid receptor 2	Clinical trial target	P34972
TTDC00315	Phosphodiesterase	Clinical trial target	Q08497
TTDC00318	High affinity nerve growth factor receptor	Successful target	P04629
TTDC00319	Apoptosis regulator Bcl-2	Clinical trial target	P10415
TTDC00322	HCV NS5A protein; NS5A protein	Clinical trial target	K7X7T4
TTDC00325	mRNA of copper zinc superoxide dismutase 1	Clinical trial target	P00441
TTDC00326	Complement factor D	Clinical trial target	P00746
TTDC00327	Lymphotoxin alpha	Clinical trial target	P01374
TTDC00328	mRNA of ApoC-III	Clinical trial target	P02656
TTDC00329	mRNA of transthyretin	Clinical trial target	P02766
TTDC00330	mRNA of Factor XI	Clinical trial target	P03951
TTDC00331	Apolipoprotein B-100	Successful target	P04114
TTDC00332	mRNA of androgen receptor	Clinical trial target	P10275
TTDC00333	Prolactin receptor	Clinical trial target	P16471
TTDC00334	mRNA of VEGFR1	Clinical trial target	P17948
TTDC00335	mRNA of connective tissue growth factor	Clinical trial target	P29279
TTDC00336	mRNA of sodium-glucose transporter-2	Clinical trial target	P31639
TTDC00337	CD70	Clinical trial target	P32970
TTDC00338	Activin receptor-like kinase-1	Clinical trial target	P37023
TTDC00339	mRNA of kinesin spindle protein	Clinical trial target	P52732
TTDC00340	Choline transporter-like protein 4	Clinical trial target	Q53GD3
TTDC00341	Scavenger decapping enzyme DcpS	Clinical trial target	Q96C86
TTDC00342	Calcium-release activated calcium channel	Clinical trial target	Q96D31
TTDC00343	Nectin-4	Clinical trial target	Q96NY8
TTDC00344	Smoothened	Clinical trial target	Q99835
TTDC00345	mRNA of growth hormone receptor	Clinical trial target	P10912
TTDI00001	Granulin	Research target	P28799
TTDI00002	Linear ubiquitin chain assembly complex	Research target	Q96EP0; Q9H0F6; Q9BYM8
TTDI00003	C-X-C motif chemokine 13	Research target	O43927
TTDI00004	Collagen VI	Research target	P12109; P12110; P12111
TTDI00005	Sgt1	Research target	Q9Y2Z0
TTDI00006	Lactate dehydrogenase A	Research target	P00338
TTDI00007	Metastasis associated gene-1	Research target	Q13330
TTDI00008	FHL1	Research target	Q13642
TTDI00010	C-X-C motif ligand 13	Research target	O43927
TTDI00011	Monocarboxylate transporter 4	Research target	O15427
TTDI00012	Mertk	Research target	Q12866
TTDI00013	Ras gtpase-activating protein SH3 domain-binding protein 1	Research target	Q13283
TTDI00017	Acylglycerol kinase	Research target	Q53H12
TTDI00019	Adenomatous polyposis coli 2	Research target	O95996
TTDI00021	Forkhead box Q1	Research target	Q9C009
TTDI00022	Dnaj-1	Research target	P25685
TTDI00023	Contactin-1	Research target	Q12860
TTDI00024	Liver receptor homolog-1	Research target	O00482
TTDI00026	Astrocyte Elevated Gene-1	Research target	Q86UE4
TTDI00028	Regulators of G protein signaling 12	Research target	O14924
TTDI00029	Heat shock protein A12B	Research target	Q96MM6
TTDI00030	L-type amino acid transporter 1	Research target	Q01650
TTDI00031	Polypyrimidine tract-binding protein	Research target	P26599
TTDI00033	Zeb2	Research target	O60315
TTDI00034	ABCG5	Research target	Q9H222
TTDI00037	Cytokine signaling 1	Research target	O15524
TTDI00038	Cyclin-dependent kinase inhibitor 1A	Research target	P38936
TTDI00040	HOXA13	Research target	P31271
TTDI00041	Methyl cpg binding protein 2	Research target	P51608
TTDI00042	Gamma-Glutamyl transferase 7	Research target	Q9UJ14
TTDI00043	CCL20	Research target	P78556
TTDI00045	Src-associated in mitosis of 68 kda	Research target	Q07666
TTDI00046	Charged multivesicular body protein 4B	Research target	Q9H444
TTDI00047	Matriptase	Research target	Q9Y5Y6
TTDI00050	SOX2 	Research target	P48431
TTDI00052	FBXO11	Research target	Q86XK2
TTDI00053	Phosphorylation of H2AX	Research target	P16104
TTDI00054	Kallikrein-related-peptidase-4	Research target	Q9Y5K2
TTDI00057	Cyclin E2	Research target	O96020
TTDI00058	SKP2	Research target	Q13309
TTDI00061	ATF4	Research target	P18848
TTDI00064	Mixed-lineage leukemia protein (MLL) complex	Research target	Q03164
TTDI00065	Mitochondrial Cyclophilin D	Research target	Q08752
TTDI00066	Insulin-like growth factor-binding proteins 7	Research target	Q16270
TTDI00069	CCL22	Research target	O00626
TTDI00072	ITCH	Research target	Q96J02
TTDI00074	Eukaryotic translation initiation factor 4E	Research target	P06730
TTDI00075	G protein-coupled receptor 35	Research target	Q9HC97
TTDI00076	Discoidin domain receptor 2	Research target	Q16832
TTDI00077	PTPN14	Research target	Q15678
TTDI00078	PTEN	Research target	P60484
TTDI00079	MAP4K4	Research target	O95819
TTDI00080	S100 calcium-binding protein A6	Research target	P06703
TTDI00081	Ku80	Research target	P13010
TTDI00082	Eukaryotic translation initiation factor 5A2	Research target	Q9GZV4
TTDI00083	LATS2	Research target	Q9NRM7
TTDI00084	PLEKHA5	Research target	Q9HAU0
TTDI00086	Id (DNA binding and/or differentiation) protein 2	Research target	Q02363
TTDI00087	SLC26A9	Research target	Q7LBE3
TTDI00088	HAX-1	Research target	O00165
TTDI00089	Grainyhead-like 2	Research target	Q6ISB3
TTDI00090	Histidine-rich calcium binding protein	Research target	P23327
TTDI00091	Transforming acidic coiled-coil protein 3	Research target	Q9Y6A5
TTDI00092	Daam2	Research target	Q86T65
TTDI00094	MTOR complex 2	Research target	Q6R327
TTDI00095	Herpesvirus entry mediator	Research target	Q92956
TTDI00096	YOD1	Research target	Q5VVQ6
TTDI00100	PLP2	Research target	Q04941
TTDI00101	BCAM-AKT2 fusion gene	Research target	P50895; P31751
TTDI00102	Telomeric repeat-binding factor 1	Research target	P54274
TTDI00103	Telomeric repeat-binding factor 2	Research target	Q15554
TTDI00104	Surfactant protein D	Research target	P35247
TTDI00105	Osteoclast-associated receptor	Research target	Q8IYS5
TTDI00106	Non-catalytic region of tyrosine kinase adaptor protein 1	Research target	P16333
TTDI00108	Beclin-1	Research target	Q14457
TTDI00109	Cullin7	Research target	Q14999
TTDI00111	SYVN1 	Research target	Q86TM6
TTDI00112	Peroxisome proliferator-activated receptor gamma coactivator 1beta	Research target	Q86YN6
TTDI00114	Stomatin-like protein 2	Research target	Q9UJZ1
TTDI00115	Apelin	Research target	Q9ULZ1
TTDI00116	HOXA5	Research target	P20719
TTDI00119	Signal peptide-CUB-epidermal growth factor-like domain-containing protein 2	Research target	Q9NQ36
TTDI00120	Activating enhancer-binding protein-2 alpha	Research target	P05549
TTDI00121	Musashi2	Research target	Q96DH6
TTDI00122	Lymphocyte adaptor protein LNK	Research target	Q9UQQ2
TTDI00123	Thioredoxin-interacting protein	Research target	Q9H3M7
TTDI00126	T lymphoma invasion and metastasis 1	Research target	Q13009
TTDI00127	High-mobility group protein 2	Research target	P26583
TTDI00128	Kinesin family member 26B	Research target	Q2KJY2
TTDI00130	FAM83D	Research target	Q9H4H8
TTDI00132	Shugoshin-like protein 1	Research target	Q5FBB7
TTDI00133	Annexin II receptor	Research target	Q3ZCQ2
TTDI00134	Homeobox (HOX) A11	Research target	P31270
TTDI00137	KDM5B	Research target	Q9UGL1
TTDI00139	WW domain containing E3 ubiquitin protein ligase 2	Research target	O00308
TTDI00140	ADP-ribosylation factor-like protein 2	Research target	P36404
TTDI00142	Src homology region 2 domain-containing phosphatase 1	Research target	P29350
TTDI00144	Stathmin 1	Research target	P16949
TTDI00146	CXXC5	Research target	Q7LFL8
TTDI00148	CBX7	Research target	O95931
TTDI00149	Srrp35	Research target	Q8WXF0
TTDI00151	JAG2	Research target	Q9Y219
TTDI00152	High mobility group protein HMGI-C	Research target	P52926
TTDI00153	PNPLA6	Research target	Q8IY17
TTDI00154	Uncoupling protein-2	Research target	P55851
TTDI00155	Phosphoglycerate dehydrogenase	Research target	O43175
TTDI00156	Transcription factor sex determining region Y-box protein 5	Research target	P35711
TTDI00157	Allograft inflammatory factor-1	Research target	P55008
TTDI00158	GLUT12	Research target	Q8TD20
TTDI00159	Thyroid hormone receptor-interacting protein 12	Research target	Q14669
TTDI00160	Optic atrophy protein 1	Research target	O60313
TTDI00161	Thioredoxin-like protein 2b	Research target	Q86XW9
TTDI00165	DEK	Research target	P35659
TTDI00166	Citrate synthase	Research target	O75390
TTDI00168	Gamma-H2AX	Research target	P16104
TTDI00169	Cytoplasmic DRAK1	Research target	Q9UEE5
TTDI00170	ATG7 	Research target	O95352
TTDI00173	Septin-6	Research target	Q14141
TTDI00174	P300/CBP-associated factor	Research target	Q92831
TTDI00176	Interleukin (IL)-35	Research target	P29459; Q14213
TTDI00178	RECK 	Research target	O95980
TTDI00181	Rab22a 	Research target	Q9UL26
TTDI00182	Sialic acid-binding immunoglobulin-like lectin 15	Research target	Q6ZMC9
TTDI00183	Beta-Arrestin1	Research target	P49407
TTDI00184	C-terminal tensin-like (Cten) protein	Research target	Q8IZW8
TTDI00185	CX3CL1	Research target	P78423
TTDI00188	Endoplasmic reticulum aminopeptidase 1	Research target	Q9NZ08
TTDI00189	Calpain 2	Research target	P17655
TTDI00190	Lysosome-associated protein transmembrane 4b-35 protein	Research target	Q86VI4
TTDI00192	G protein-coupled estrogen receptor 30	Research target	Q99527
TTDI00193	SPAG6	Research target	O75602
TTDI00194	STK33	Research target	Q9BYT3
TTDI00195	N-acylethanolamine-hydrolyzing acid amidase	Research target	Q02083
TTDI00196	Forkhead box protein C2	Research target	Q99958
TTDI00197	Activating transcription factor 4	Research target	P18848
TTDI00198	Fos-related antigen 2	Research target	P15408
TTDI00200	E-cadherin	Research target	P12830
TTDI00202	Musashi RNA-binding protein 1	Research target	O43347
TTDI00204	Beta-Arrestin 2	Research target	P32121
TTDI00205	Proprotein Convertase 5/6A	Research target	Q92824
TTDI00207	Glyoxalase I	Research target	Q04760
TTDI00208	Transducin (beta)-like 1 X-linked receptor 1	Research target	Q9BZK7
TTDI00210	Metadherin	Research target	Q86UE4
TTDI00212	Autophagy-related 2B	Research target	Q96BY7
TTDI00213	SET and MYND domain-containing protein 2	Research target	Q9NRG4
TTDI00214	Resistance to inhibitors of cholinesterase (Ric-8)A	Research target	Q9NPQ8
