TTDID	KEGG pathway ID	KEGG pathway name
TTDC00015	hsa04970	Salivary secretion
TTDC00015	hsa04971	Gastric acid secretion
TTDC00015	hsa04972	Pancreatic secretion
TTDC00015	hsa05031	Amphetamine addiction
TTDC00015	hsa05032	Morphine addiction
TTDC00015	hsa05110	Vibrio cholerae infection
TTDC00015	hsa05143	African trypanosomiasis
TTDC00015	hsa05146	Amoebiasis
TTDC00015	hsa05161	Hepatitis B
TTDC00015	hsa05200	Pathways in cancer
TTDC00015	hsa05205	Proteoglycans in cancer
TTDC00015	hsa05206	MicroRNAs in cancer
TTDC00015	hsa05214	Glioma
TTDC00015	hsa05223	Non-small cell lung cancer
TTDC00015	hsa05231	Choline metabolism in cancer
TTDC00016	hsa00052	Galactose metabolism
TTDC00016	hsa00561	Glycerolipid metabolism
TTDC00016	hsa00600	Sphingolipid metabolism
TTDC00016	hsa00603	Glycosphingolipid biosynthesis - globo series
TTDC00016	hsa04142	Lysosome
TTDC00018	hsa04141	Protein processing in endoplasmic reticulum
TTDC00018	hsa04151	PI3K-Akt signaling pathway
TTDC00018	hsa04612	Antigen processing and presentation
TTDC00018	hsa04621	NOD-like receptor signaling pathway
TTDC00018	hsa04914	Progesterone-mediated oocyte maturation
TTDC00018	hsa04915	Estrogen signaling pathway
TTDC00018	hsa05200	Pathways in cancer
TTDC00018	hsa05215	Prostate cancer
TTDC00019	hsa04080	Neuroactive ligand-receptor interaction
TTDC00019	hsa04142	Lysosome
TTDC00019	hsa04614	Renin-angiotensin system
TTDC00019	hsa05146	Amoebiasis
TTDC00019	hsa05322	Systemic lupus erythematosus
TTDC00020	hsa04145	Phagosome
TTDC00020	hsa04151	PI3K-Akt signaling pathway
TTDC00020	hsa04510	Focal adhesion
TTDC00020	hsa04512	ECM-receptor interaction
TTDC00020	hsa04640	Hematopoietic cell lineage
TTDC00020	hsa04810	Regulation of actin cytoskeleton
TTDC00020	hsa05100	Bacterial invasion of epithelial cells
TTDC00020	hsa05131	Shigellosis
TTDC00020	hsa05133	Pertussis
TTDC00020	hsa05205	Proteoglycans in cancer
TTDC00020	hsa05206	MicroRNAs in cancer
TTDC00020	hsa05410	Hypertrophic cardiomyopathy (HCM)
TTDC00020	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
TTDC00020	hsa05414	Dilated cardiomyopathy
TTDC00022	hsa04151	PI3K-Akt signaling pathway
TTDC00022	hsa05166	HTLV-I infection
TTDC00023	hsa00052	Galactose metabolism
TTDC00023	hsa00500	Starch and sucrose metabolism
TTDC00023	hsa01100	Metabolic pathways
TTDC00023	hsa04142	Lysosome
TTDC00024	hsa04010	MAPK signaling pathway
TTDC00024	hsa04014	Ras signaling pathway
TTDC00024	hsa04015	Rap1 signaling pathway
TTDC00024	hsa04151	PI3K-Akt signaling pathway
TTDC00024	hsa04520	Adherens junction
TTDC00024	hsa04550	Signaling pathways regulating pluripotency of stem cells
TTDC00024	hsa04810	Regulation of actin cytoskeleton
TTDC00024	hsa05200	Pathways in cancer
TTDC00024	hsa05205	Proteoglycans in cancer
TTDC00024	hsa05215	Prostate cancer
TTDC00024	hsa05218	Melanoma
TTDC00024	hsa05230	Central carbon metabolism in cancer
TTDC00025	hsa00564	Glycerophospholipid metabolism
TTDC00025	hsa00565	Ether lipid metabolism
TTDC00025	hsa00590	Arachidonic acid metabolism
TTDC00025	hsa00591	Linoleic acid metabolism
TTDC00025	hsa00592	alpha-Linolenic acid metabolism
TTDC00025	hsa01100	Metabolic pathways
TTDC00025	hsa04014	Ras signaling pathway
TTDC00025	hsa04270	Vascular smooth muscle contraction
TTDC00025	hsa04972	Pancreatic secretion
TTDC00025	hsa04975	Fat digestion and absorption
TTDC00026	hsa04060	Cytokine-cytokine receptor interaction
TTDC00026	hsa04144	Endocytosis
TTDC00026	hsa04151	PI3K-Akt signaling pathway
TTDC00026	hsa04630	Jak-STAT signaling pathway
TTDC00026	hsa05162	Measles
TTDC00026	hsa05166	HTLV-I infection
TTDC00026	hsa05202	Transcriptional misregulation in cancer
TTDC00027	hsa00340	Histidine metabolism
TTDC00027	hsa01100	Metabolic pathways
TTDC00028	hsa04961	Endocrine and other factor-regulated calcium reabsorption
TTDC00029	hsa00230	Purine metabolism
TTDC00029	hsa04022	cGMP-PKG signaling pathway
TTDC00029	hsa04270	Vascular smooth muscle contraction
TTDC00029	hsa04921	Oxytocin signaling pathway
TTDC00030	hsa02010	ABC transporters
TTDC00030	hsa04976	Bile secretion
TTDC00031	hsa04151	PI3K-Akt signaling pathway
TTDC00031	hsa04510	Focal adhesion
TTDC00031	hsa04512	ECM-receptor interaction
TTDC00031	hsa04514	Cell adhesion molecules (CAMs)
TTDC00031	hsa04672	Intestinal immune network for IgA production
TTDC00031	hsa04810	Regulation of actin cytoskeleton
TTDC00031	hsa05202	Transcriptional misregulation in cancer
TTDC00031	hsa05410	Hypertrophic cardiomyopathy (HCM)
TTDC00031	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
TTDC00031	hsa05414	Dilated cardiomyopathy
TTDC00032	hsa04520	Adherens junction
TTDC00032	hsa04630	Jak-STAT signaling pathway
TTDC00032	hsa04650	Natural killer cell mediated cytotoxicity
TTDC00032	hsa04660	T cell receptor signaling pathway
TTDC00032	hsa04662	B cell receptor signaling pathway
TTDC00032	hsa05140	Leishmaniasis
TTDC00032	hsa05205	Proteoglycans in cancer
TTDC00033	hsa04060	Cytokine-cytokine receptor interaction
TTDC00033	hsa04620	Toll-like receptor signaling pathway
TTDC00033	hsa04622	RIG-I-like receptor signaling pathway
TTDC00033	hsa04630	Jak-STAT signaling pathway
TTDC00033	hsa04940	Type I diabetes mellitus
TTDC00033	hsa05133	Pertussis
TTDC00033	hsa05134	Legionellosis
TTDC00033	hsa05140	Leishmaniasis
TTDC00033	hsa05142	Chagas disease (American trypanosomiasis)
TTDC00033	hsa05143	African trypanosomiasis
TTDC00033	hsa05144	Malaria
TTDC00033	hsa05145	Toxoplasmosis
TTDC00033	hsa05146	Amoebiasis
TTDC00033	hsa05152	Tuberculosis
TTDC00033	hsa05162	Measles
TTDC00033	hsa05164	Influenza A
TTDC00033	hsa05168	Herpes simplex infection
TTDC00033	hsa05321	Inflammatory bowel disease (IBD)
TTDC00033	hsa05330	Allograft rejection
TTDC00034	hsa04080	Neuroactive ligand-receptor interaction
TTDC00037	hsa04020	Calcium signaling pathway
TTDC00037	hsa04024	cAMP signaling pathway
TTDC00037	hsa04080	Neuroactive ligand-receptor interaction
TTDC00037	hsa04923	Regulation of lipolysis in adipocytes
TTDC00037	hsa05200	Pathways in cancer
TTDC00038	hsa04020	Calcium signaling pathway
TTDC00038	hsa04022	cGMP-PKG signaling pathway
TTDC00038	hsa05012	Parkinson's disease
TTDC00038	hsa05016	Huntington's disease
TTDC00038	hsa05166	HTLV-I infection
TTDC00039	hsa04080	Neuroactive ligand-receptor interaction
TTDC00040	hsa04080	Neuroactive ligand-receptor interaction
TTDC00041	hsa04080	Neuroactive ligand-receptor interaction
TTDC00042	hsa04668	TNF signaling pathway
TTDC00042	hsa04912	GnRH signaling pathway
TTDC00043	hsa04080	Neuroactive ligand-receptor interaction
TTDC00044	hsa04010	MAPK signaling pathway
TTDC00044	hsa04015	Rap1 signaling pathway
TTDC00044	hsa04068	FoxO signaling pathway
TTDC00044	hsa04071	Sphingolipid signaling pathway
TTDC00044	hsa04114	Oocyte meiosis
TTDC00044	hsa04261	Adrenergic signaling in cardiomyocytes
TTDC00044	hsa04370	VEGF signaling pathway
TTDC00044	hsa04380	Osteoclast differentiation
TTDC00044	hsa04550	Signaling pathways regulating pluripotency of stem cells
TTDC00044	hsa04611	Platelet activation
TTDC00044	hsa04620	Toll-like receptor signaling pathway
TTDC00044	hsa04621	NOD-like receptor signaling pathway
TTDC00044	hsa04622	RIG-I-like receptor signaling pathway
TTDC00044	hsa04660	T cell receptor signaling pathway
TTDC00044	hsa04664	Fc epsilon RI signaling pathway
TTDC00044	hsa04668	TNF signaling pathway
TTDC00044	hsa04670	Leukocyte transendothelial migration
TTDC00044	hsa04722	Neurotrophin signaling pathway
TTDC00044	hsa04723	Retrograde endocannabinoid signaling
TTDC00044	hsa04728	Dopaminergic synapse
TTDC00044	hsa04750	Inflammatory mediator regulation of TRP channels
TTDC00044	hsa04912	GnRH signaling pathway
TTDC00044	hsa04914	Progesterone-mediated oocyte maturation
TTDC00044	hsa04917	Prolactin signaling pathway
TTDC00044	hsa05014	Amyotrophic lateral sclerosis (ALS)
TTDC00044	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
TTDC00044	hsa05131	Shigellosis
TTDC00044	hsa05132	Salmonella infection
TTDC00044	hsa05133	Pertussis
TTDC00044	hsa05140	Leishmaniasis
TTDC00044	hsa05142	Chagas disease (American trypanosomiasis)
TTDC00044	hsa05145	Toxoplasmosis
TTDC00044	hsa05152	Tuberculosis
TTDC00044	hsa05160	Hepatitis C
TTDC00044	hsa05164	Influenza A
TTDC00044	hsa05169	Epstein-Barr virus infection
TTDC00044	hsa05205	Proteoglycans in cancer
TTDC00045	hsa04360	Axon guidance
TTDC00046	hsa04010	MAPK signaling pathway
TTDC00046	hsa04064	NF-kappa B signaling pathway
TTDC00046	hsa04380	Osteoclast differentiation
TTDC00046	hsa05134	Legionellosis
TTDC00046	hsa05166	HTLV-I infection
TTDC00046	hsa05169	Epstein-Barr virus infection
TTDC00046	hsa05200	Pathways in cancer
TTDC00046	hsa05203	Viral carcinogenesis
TTDC00048	hsa04151	PI3K-Akt signaling pathway
TTDC00048	hsa05206	MicroRNAs in cancer
TTDC00049	hsa04080	Neuroactive ligand-receptor interaction
TTDC00049	hsa04750	Inflammatory mediator regulation of TRP channels
TTDC00050	hsa04024	cAMP signaling pathway
TTDC00050	hsa04911	Insulin secretion
TTDC00051	hsa04330	Notch signaling pathway
TTDC00051	hsa05010	Alzheimer's disease
TTDC00052	hsa04068	FoxO signaling pathway
TTDC00052	hsa04152	AMPK signaling pathway
TTDC00052	hsa04922	Glucagon signaling pathway
TTDC00052	hsa05031	Amphetamine addiction
TTDC00052	hsa05206	MicroRNAs in cancer
TTDC00053	hsa04610	Complement and coagulation cascades
TTDC00053	hsa04972	Pancreatic secretion
TTDC00053	hsa04974	Protein digestion and absorption
TTDC00054	hsa04066	HIF-1 signaling pathway
TTDC00054	hsa05200	Pathways in cancer
TTDC00054	hsa05211	Renal cell carcinoma
TTDC00056	hsa04620	Toll-like receptor signaling pathway
TTDC00057	hsa00600	Sphingolipid metabolism
TTDC00057	hsa01100	Metabolic pathways
TTDC00058	hsa00600	Sphingolipid metabolism
TTDC00058	hsa01100	Metabolic pathways
TTDC00058	hsa04020	Calcium signaling pathway
TTDC00058	hsa04071	Sphingolipid signaling pathway
TTDC00058	hsa04370	VEGF signaling pathway
TTDC00058	hsa04666	Fc gamma R-mediated phagocytosis
TTDC00058	hsa05152	Tuberculosis
TTDC00060	hsa00531	Glycosaminoglycan degradation
TTDC00060	hsa01100	Metabolic pathways
TTDC00060	hsa05205	Proteoglycans in cancer
TTDC00061	hsa04020	Calcium signaling pathway
TTDC00061	hsa04022	cGMP-PKG signaling pathway
TTDC00061	hsa05012	Parkinson's disease
TTDC00061	hsa05016	Huntington's disease
TTDC00061	hsa05161	Hepatitis B
TTDC00061	hsa05166	HTLV-I infection
TTDC00061	hsa05203	Viral carcinogenesis
TTDC00063	hsa00330	Arginine and proline metabolism
TTDC00063	hsa01100	Metabolic pathways
TTDC00063	hsa04020	Calcium signaling pathway
TTDC00063	hsa04145	Phagosome
TTDC00063	hsa04713	Circadian entrainment
TTDC00063	hsa04730	Long-term depression
TTDC00063	hsa04970	Salivary secretion
TTDC00063	hsa05010	Alzheimer's disease
TTDC00063	hsa05014	Amyotrophic lateral sclerosis (ALS)
TTDC00065	hsa00900	Terpenoid backbone biosynthesis
TTDC00065	hsa01130	Biosynthesis of antibiotics
TTDC00066	hsa04022	cGMP-PKG signaling pathway
TTDC00066	hsa04071	Sphingolipid signaling pathway
TTDC00066	hsa04270	Vascular smooth muscle contraction
TTDC00066	hsa04530	Tight junction
TTDC00066	hsa04664	Fc epsilon RI signaling pathway
TTDC00066	hsa04666	Fc gamma R-mediated phagocytosis
TTDC00066	hsa04750	Inflammatory mediator regulation of TRP channels
TTDC00066	hsa04930	Type II diabetes mellitus
TTDC00066	hsa05206	MicroRNAs in cancer
TTDC00067	hsa04142	Lysosome
TTDC00067	hsa04145	Phagosome
TTDC00067	hsa04612	Antigen processing and presentation
TTDC00067	hsa05152	Tuberculosis
TTDC00068	hsa04142	Lysosome
TTDC00068	hsa04380	Osteoclast differentiation
TTDC00068	hsa04620	Toll-like receptor signaling pathway
TTDC00068	hsa05323	Rheumatoid arthritis
TTDC00069	hsa03320	PPAR signaling pathway
TTDC00069	hsa04310	Wnt signaling pathway
TTDC00069	hsa05200	Pathways in cancer
TTDC00069	hsa05221	Acute myeloid leukemia
TTDC00070	hsa00140	Steroid hormone biosynthesis
TTDC00070	hsa00980	Metabolism of xenobiotics by cytochrome P450
TTDC00070	hsa01100	Metabolic pathways
TTDC00070	hsa05204	Chemical carcinogenesis
TTDC00071	hsa04015	Rap1 signaling pathway
TTDC00071	hsa04020	Calcium signaling pathway
TTDC00071	hsa04024	cAMP signaling pathway
TTDC00071	hsa04080	Neuroactive ligand-receptor interaction
TTDC00071	hsa04144	Endocytosis
TTDC00071	hsa04151	PI3K-Akt signaling pathway
TTDC00071	hsa04610	Complement and coagulation cascades
TTDC00071	hsa04611	Platelet activation
TTDC00071	hsa04810	Regulation of actin cytoskeleton
TTDC00071	hsa05200	Pathways in cancer
TTDC00072	hsa04080	Neuroactive ligand-receptor interaction
TTDC00073	hsa04080	Neuroactive ligand-receptor interaction
TTDC00073	hsa04730	Long-term depression
TTDC00074	hsa04080	Neuroactive ligand-receptor interaction
TTDC00076	hsa04668	TNF signaling pathway
TTDC00076	hsa04670	Leukocyte transendothelial migration
TTDC00076	hsa04915	Estrogen signaling pathway
TTDC00076	hsa05161	Hepatitis B
TTDC00076	hsa05200	Pathways in cancer
TTDC00076	hsa05202	Transcriptional misregulation in cancer
TTDC00076	hsa05205	Proteoglycans in cancer
TTDC00076	hsa05206	MicroRNAs in cancer
TTDC00076	hsa05219	Bladder cancer
TTDC00077	hsa04062	Chemokine signaling pathway
TTDC00077	hsa04270	Vascular smooth muscle contraction
TTDC00077	hsa04530	Tight junction
TTDC00077	hsa04664	Fc epsilon RI signaling pathway
TTDC00077	hsa04666	Fc gamma R-mediated phagocytosis
TTDC00077	hsa04722	Neurotrophin signaling pathway
TTDC00077	hsa04750	Inflammatory mediator regulation of TRP channels
TTDC00077	hsa04912	GnRH signaling pathway
TTDC00077	hsa04915	Estrogen signaling pathway
TTDC00077	hsa04930	Type II diabetes mellitus
TTDC00078	hsa04610	Complement and coagulation cascades
TTDC00079	hsa04080	Neuroactive ligand-receptor interaction
TTDC00080	hsa04060	Cytokine-cytokine receptor interaction
TTDC00080	hsa04066	HIF-1 signaling pathway
TTDC00080	hsa04068	FoxO signaling pathway
TTDC00080	hsa04151	PI3K-Akt signaling pathway
TTDC00080	hsa04620	Toll-like receptor signaling pathway
TTDC00080	hsa04621	NOD-like receptor signaling pathway
TTDC00080	hsa04623	Cytosolic DNA-sensing pathway
TTDC00080	hsa04630	Jak-STAT signaling pathway
TTDC00080	hsa04640	Hematopoietic cell lineage
TTDC00080	hsa04668	TNF signaling pathway
TTDC00080	hsa04672	Intestinal immune network for IgA production
TTDC00080	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
TTDC00080	hsa05020	Prion diseases
TTDC00080	hsa05132	Salmonella infection
TTDC00080	hsa05133	Pertussis
TTDC00080	hsa05134	Legionellosis
TTDC00080	hsa05142	Chagas disease (American trypanosomiasis)
TTDC00080	hsa05143	African trypanosomiasis
TTDC00080	hsa05144	Malaria
TTDC00080	hsa05146	Amoebiasis
TTDC00080	hsa05152	Tuberculosis
TTDC00080	hsa05161	Hepatitis B
TTDC00080	hsa05162	Measles
TTDC00080	hsa05164	Influenza A
TTDC00080	hsa05166	HTLV-I infection
TTDC00080	hsa05168	Herpes simplex infection
TTDC00080	hsa05200	Pathways in cancer
TTDC00080	hsa05202	Transcriptional misregulation in cancer
TTDC00080	hsa05321	Inflammatory bowel disease (IBD)
TTDC00080	hsa05323	Rheumatoid arthritis
TTDC00080	hsa05332	Graft-versus-host disease
TTDC00080	hsa05410	Hypertrophic cardiomyopathy (HCM)
TTDC00081	hsa04060	Cytokine-cytokine receptor interaction
TTDC00081	hsa04151	PI3K-Akt signaling pathway
TTDC00081	hsa04630	Jak-STAT signaling pathway
TTDC00081	hsa04640	Hematopoietic cell lineage
TTDC00081	hsa05321	Inflammatory bowel disease (IBD)
TTDC00082	hsa04020	Calcium signaling pathway
TTDC00082	hsa04080	Neuroactive ligand-receptor interaction
TTDC00082	hsa04911	Insulin secretion
TTDC00082	hsa04972	Pancreatic secretion
TTDC00084	hsa04062	Chemokine signaling pathway
TTDC00084	hsa04151	PI3K-Akt signaling pathway
TTDC00084	hsa04550	Signaling pathways regulating pluripotency of stem cells
TTDC00084	hsa04630	Jak-STAT signaling pathway
TTDC00084	hsa05162	Measles
TTDC00084	hsa05166	HTLV-I infection
TTDC00084	hsa05169	Epstein-Barr virus infection
TTDC00084	hsa05203	Viral carcinogenesis
TTDC00084	hsa05340	Primary immunodeficiency
TTDC00085	hsa04610	Complement and coagulation cascades
TTDC00085	hsa05133	Pertussis
TTDC00085	hsa05150	Staphylococcus aureus infection
TTDC00085	hsa05322	Systemic lupus erythematosus
TTDC00086	hsa00590	Arachidonic acid metabolism
TTDC00086	hsa01100	Metabolic pathways
TTDC00086	hsa04611	Platelet activation
TTDC00087	hsa04060	Cytokine-cytokine receptor interaction
TTDC00087	hsa04062	Chemokine signaling pathway
TTDC00087	hsa04144	Endocytosis
TTDC00087	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
TTDC00088	hsa04068	FoxO signaling pathway
TTDC00088	hsa04110	Cell cycle
TTDC00088	hsa04114	Oocyte meiosis
TTDC00088	hsa04115	p53 signaling pathway
TTDC00088	hsa04151	PI3K-Akt signaling pathway
TTDC00088	hsa04914	Progesterone-mediated oocyte maturation
TTDC00088	hsa05161	Hepatitis B
TTDC00088	hsa05162	Measles
TTDC00088	hsa05168	Herpes simplex infection
TTDC00088	hsa05169	Epstein-Barr virus infection
TTDC00088	hsa05200	Pathways in cancer
TTDC00088	hsa05203	Viral carcinogenesis
TTDC00088	hsa05215	Prostate cancer
TTDC00088	hsa05222	Small cell lung cancer
TTDC00089	hsa04080	Neuroactive ligand-receptor interaction
TTDC00090	hsa04020	Calcium signaling pathway
TTDC00090	hsa04080	Neuroactive ligand-receptor interaction
TTDC00091	hsa00230	Purine metabolism
TTDC00091	hsa00240	Pyrimidine metabolism
TTDC00091	hsa00760	Nicotinate and nicotinamide metabolism
TTDC00091	hsa01100	Metabolic pathways
TTDC00093	hsa04080	Neuroactive ligand-receptor interaction
TTDC00093	hsa04270	Vascular smooth muscle contraction
TTDC00094	hsa03022	Basal transcription factors
TTDC00094	hsa03420	Nucleotide excision repair
TTDC00094	hsa04110	Cell cycle
TTDC00095	hsa05202	Transcriptional misregulation in cancer
TTDC00096	hsa03050	Proteasome
TTDC00096	hsa04060	Cytokine-cytokine receptor interaction
TTDC00096	hsa04066	HIF-1 signaling pathway
TTDC00096	hsa04140	Regulation of autophagy
TTDC00096	hsa04350	TGF-beta signaling pathway
TTDC00096	hsa04380	Osteoclast differentiation
TTDC00096	hsa04612	Antigen processing and presentation
TTDC00096	hsa04630	Jak-STAT signaling pathway
TTDC00096	hsa04650	Natural killer cell mediated cytotoxicity
TTDC00096	hsa04660	T cell receptor signaling pathway
TTDC00096	hsa04940	Type I diabetes mellitus
TTDC00096	hsa05132	Salmonella infection
TTDC00096	hsa05140	Leishmaniasis
TTDC00096	hsa05142	Chagas disease (American trypanosomiasis)
TTDC00096	hsa05143	African trypanosomiasis
TTDC00096	hsa05144	Malaria
TTDC00096	hsa05145	Toxoplasmosis
TTDC00096	hsa05146	Amoebiasis
TTDC00096	hsa05152	Tuberculosis
TTDC00096	hsa05162	Measles
TTDC00096	hsa05164	Influenza A
TTDC00096	hsa05168	Herpes simplex infection
TTDC00096	hsa05169	Epstein-Barr virus infection
TTDC00096	hsa05321	Inflammatory bowel disease (IBD)
TTDC00096	hsa05322	Systemic lupus erythematosus
TTDC00096	hsa05323	Rheumatoid arthritis
TTDC00096	hsa05330	Allograft rejection
TTDC00096	hsa05332	Graft-versus-host disease
TTDC00097	hsa00330	Arginine and proline metabolism
TTDC00097	hsa01100	Metabolic pathways
TTDC00097	hsa04020	Calcium signaling pathway
TTDC00097	hsa04022	cGMP-PKG signaling pathway
TTDC00097	hsa04066	HIF-1 signaling pathway
TTDC00097	hsa04071	Sphingolipid signaling pathway
TTDC00097	hsa04151	PI3K-Akt signaling pathway
TTDC00097	hsa04370	VEGF signaling pathway
TTDC00097	hsa04611	Platelet activation
TTDC00097	hsa04915	Estrogen signaling pathway
TTDC00097	hsa04921	Oxytocin signaling pathway
TTDC00098	hsa04514	Cell adhesion molecules (CAMs)
TTDC00098	hsa04668	TNF signaling pathway
TTDC00098	hsa05143	African trypanosomiasis
TTDC00098	hsa05144	Malaria
TTDC00099	hsa00500	Starch and sucrose metabolism
TTDC00099	hsa01100	Metabolic pathways
TTDC00099	hsa04910	Insulin signaling pathway
TTDC00099	hsa04922	Glucagon signaling pathway
TTDC00100	hsa04020	Calcium signaling pathway
TTDC00100	hsa04080	Neuroactive ligand-receptor interaction
TTDC00100	hsa04540	Gap junction
TTDC00100	hsa04720	Long-term potentiation
TTDC00100	hsa04723	Retrograde endocannabinoid signaling
TTDC00100	hsa04724	Glutamatergic synapse
TTDC00100	hsa05016	Huntington's disease
TTDC00101	hsa04066	HIF-1 signaling pathway
TTDC00101	hsa04150	mTOR signaling pathway
TTDC00101	hsa04919	Thyroid hormone signaling pathway
TTDC00101	hsa05200	Pathways in cancer
TTDC00101	hsa05205	Proteoglycans in cancer
TTDC00101	hsa05211	Renal cell carcinoma
TTDC00101	hsa05230	Central carbon metabolism in cancer
TTDC00101	hsa05231	Choline metabolism in cancer
TTDC00102	hsa04010	MAPK signaling pathway
TTDC00102	hsa04012	ErbB signaling pathway
TTDC00102	hsa04014	Ras signaling pathway
TTDC00102	hsa04024	cAMP signaling pathway
TTDC00102	hsa04068	FoxO signaling pathway
TTDC00102	hsa04071	Sphingolipid signaling pathway
TTDC00102	hsa04141	Protein processing in endoplasmic reticulum
TTDC00102	hsa04310	Wnt signaling pathway
TTDC00102	hsa04380	Osteoclast differentiation
TTDC00102	hsa04510	Focal adhesion
TTDC00102	hsa04620	Toll-like receptor signaling pathway
TTDC00102	hsa04621	NOD-like receptor signaling pathway
TTDC00102	hsa04622	RIG-I-like receptor signaling pathway
TTDC00102	hsa04664	Fc epsilon RI signaling pathway
TTDC00102	hsa04668	TNF signaling pathway
TTDC00102	hsa04722	Neurotrophin signaling pathway
TTDC00102	hsa04723	Retrograde endocannabinoid signaling
TTDC00102	hsa04728	Dopaminergic synapse
TTDC00102	hsa04750	Inflammatory mediator regulation of TRP channels
TTDC00102	hsa04910	Insulin signaling pathway
TTDC00102	hsa04912	GnRH signaling pathway
TTDC00102	hsa04914	Progesterone-mediated oocyte maturation
TTDC00102	hsa04917	Prolactin signaling pathway
TTDC00102	hsa04920	Adipocytokine signaling pathway
TTDC00102	hsa04930	Type II diabetes mellitus
TTDC00102	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
TTDC00102	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
TTDC00102	hsa05131	Shigellosis
TTDC00102	hsa05132	Salmonella infection
TTDC00102	hsa05133	Pertussis
TTDC00102	hsa05142	Chagas disease (American trypanosomiasis)
TTDC00102	hsa05145	Toxoplasmosis
TTDC00102	hsa05152	Tuberculosis
TTDC00102	hsa05160	Hepatitis C
TTDC00102	hsa05161	Hepatitis B
TTDC00102	hsa05164	Influenza A
TTDC00102	hsa05166	HTLV-I infection
TTDC00102	hsa05168	Herpes simplex infection
TTDC00102	hsa05169	Epstein-Barr virus infection
TTDC00102	hsa05200	Pathways in cancer
TTDC00102	hsa05210	Colorectal cancer
TTDC00102	hsa05212	Pancreatic cancer
TTDC00102	hsa05231	Choline metabolism in cancer
TTDC00103	hsa00350	Tyrosine metabolism
TTDC00103	hsa00360	Phenylalanine metabolism
TTDC00104	hsa04670	Leukocyte transendothelial migration
TTDC00104	hsa04912	GnRH signaling pathway
TTDC00104	hsa04915	Estrogen signaling pathway
TTDC00104	hsa05200	Pathways in cancer
