TTDID	WiKi pathway ID	WiKi pathway name
TTDC00018	WP2683	Influenza Life Cycle
TTDC00018	WP2719	Fcgamma receptor (FCGR) dependent phagocytosis
TTDC00018	WP2780	Signaling by ERBB2
TTDC00018	WP2784	Binding and Uptake of Ligands by Scavenger Receptors
TTDC00018	WP2873	Aryl Hydrocarbon Receptor Pathway
TTDC00018	WP2875	Constitutive Androstane Receptor Pathway
TTDC00018	WP2876	Pregnane X Receptor pathway
TTDC00018	WP2882	Nuclear Receptors Meta-Pathway
TTDC00018	WP2884	NRF2 pathway
TTDC00019	WP2799	Regulation of Insulin-like Growth Factor (IGF) Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
TTDC00019	WP554	ACE Inhibitor Pathway
TTDC00020	WP1794	Cell surface interactions at the vascular wall
TTDC00020	WP1833	Integrin cell surface interactions
TTDC00020	WP1843	L1CAM interactions
TTDC00020	WP185	Integrin-mediated Cell Adhesion
TTDC00020	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy
TTDC00020	WP2666	Elastic fibre formation
TTDC00020	WP2703	Extracellular matrix organization
TTDC00020	WP306	Focal Adhesion
TTDC00022	WP1815	Factors involved in megakaryocyte development and platelet production
TTDC00022	WP2004	miR-targeted genes in lymphocytes - TarBase
TTDC00022	WP2064	Neural Crest Differentiation
TTDC00022	WP2849	Hematopoietic Stem Cell Differentiation
TTDC00022	WP3297	EV release from cardiac cells and their functional effects
TTDC00022	WP706	SIDS Susceptibility Pathways
TTDC00024	WP1911	Signaling by FGFR
TTDC00024	WP2064	Neural Crest Differentiation
TTDC00024	WP2261	Signaling Pathways in Glioblastoma
TTDC00024	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00024	WP2804	Hair Follicle Development: Induction (Part 1 of 3)
TTDC00024	WP2857	Mesodermal Commitment Pathway
TTDC00024	WP382	MAPK Signaling Pathway
TTDC00024	WP474	Endochondral Ossification
TTDC00024	WP51	Regulation of Actin Cytoskeleton
TTDC00025	WP1544	MicroRNAs in cardiomyocyte hypertrophy
TTDC00025	WP167	Eicosanoid Synthesis
TTDC00025	WP2431	Spinal Cord Injury
TTDC00025	WP2533	Glycerophospholipid Biosynthetic Pathway
TTDC00025	WP2740	Glycerophospholipid biosynthesis
TTDC00025	WP2795	Cardiac Hypertrophic Response
TTDC00026	WP1840	Interleukin-3, 5 and GM-CSF signaling
TTDC00026	WP2732	Interleukin-2 signaling
TTDC00026	WP453	Inflammatory Response Pathway
TTDC00026	WP49	IL-2 Signaling Pathway
TTDC00027	WP2693	Metabolism of amino acids and derivatives
TTDC00027	WP550	Biogenic Amine Synthesis
TTDC00028	WP2263	Prostate Cancer
TTDC00030	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
TTDC00030	WP2879	Farnesoid X Receptor Pathway
TTDC00030	WP2882	Nuclear Receptors Meta-Pathway
TTDC00030	WP299	Nuclear Receptors in Lipid Metabolism and Toxicity
TTDC00031	WP1829	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
TTDC00031	WP1833	Integrin cell surface interactions
TTDC00031	WP185	Integrin-mediated Cell Adhesion
TTDC00031	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy
TTDC00031	WP306	Focal Adhesion
TTDC00032	WP1449	Regulation of toll-like receptor signaling pathway
TTDC00032	WP1794	Cell surface interactions at the vascular wall
TTDC00032	WP1799	Costimulation by the CD28 family
TTDC00032	WP1835	Interferon alpha/beta signaling
TTDC00032	WP1836	Interferon gamma signaling
TTDC00032	WP1840	Interleukin-3, 5 and GM-CSF signaling
TTDC00032	WP1885	Platelet homeostasis
TTDC00032	WP1909	Signal regulatory protein (SIRP) family interactions
TTDC00032	WP23	B Cell Receptor Signaling Pathway
TTDC00032	WP2583	T-Cell Receptor and Co-stimulatory Signaling
TTDC00032	WP2657	Growth hormone receptor signaling
TTDC00032	WP2713	Signaling by SCF-KIT
TTDC00032	WP2732	Interleukin-2 signaling
TTDC00032	WP286	IL-3 Signaling Pathway
TTDC00032	WP304	Kit receptor signaling pathway
TTDC00032	WP395	IL-4 Signaling Pathway
TTDC00032	WP585	Interferon type I signaling pathways
TTDC00033	WP1449	Regulation of toll-like receptor signaling pathway
TTDC00033	WP2328	Allograft Rejection
TTDC00033	WP2873	Aryl Hydrocarbon Receptor Pathway
TTDC00033	WP2877	Vitamin D Receptor Pathway
TTDC00033	WP2882	Nuclear Receptors Meta-Pathway
TTDC00033	WP75	Toll-like receptor signaling pathway
TTDC00034	WP1824	GPCR downstream signaling
TTDC00034	WP1825	GPCR ligand binding
TTDC00034	WP24	Peptide GPCRs
TTDC00034	WP455	GPCRs, Class A Rhodopsin-like
TTDC00037	WP1824	GPCR downstream signaling
TTDC00037	WP1825	GPCR ligand binding
TTDC00037	WP247	Small Ligand GPCRs
TTDC00037	WP455	GPCRs, Class A Rhodopsin-like
TTDC00037	WP98	Prostaglandin Synthesis and Regulation
TTDC00039	WP2670	Iron uptake and transport
TTDC00040	WP1824	GPCR downstream signaling
TTDC00040	WP1825	GPCR ligand binding
TTDC00040	WP24	Peptide GPCRs
TTDC00040	WP455	GPCRs, Class A Rhodopsin-like
TTDC00041	WP1824	GPCR downstream signaling
TTDC00041	WP1825	GPCR ligand binding
TTDC00041	WP334	GPCRs, Class B Secretin-like
TTDC00042	WP129	Matrix Metalloproteinases
TTDC00042	WP2324	AGE/RAGE pathway
TTDC00042	WP2708	Degradation of collagen
TTDC00042	WP2769	Activation of Matrix Metalloproteinases
TTDC00042	WP615	Senescence and Autophagy in Cancer
TTDC00043	WP1824	GPCR downstream signaling
TTDC00043	WP1825	GPCR ligand binding
TTDC00043	WP24	Peptide GPCRs
TTDC00043	WP455	GPCRs, Class A Rhodopsin-like
TTDC00044	WP1449	Regulation of toll-like receptor signaling pathway
TTDC00044	WP1808	DSCAM interactions
TTDC00044	WP185	Integrin-mediated Cell Adhesion
TTDC00044	WP1865	Myogenesis
TTDC00044	WP1873	NGF signalling via TRKA from the plasma membrane
TTDC00044	WP2004	miR-targeted genes in lymphocytes - TarBase
TTDC00044	WP2005	miR-targeted genes in muscle cell - TarBase
TTDC00044	WP2371	Parkinsons Disease Pathway
TTDC00044	WP2643	Nanoparticle-mediated activation of receptor signaling
TTDC00044	WP26	Signal Transduction of S1P Receptor
TTDC00044	WP306	Focal Adhesion
TTDC00044	WP382	MAPK Signaling Pathway
TTDC00044	WP422	MAPK Cascade
TTDC00044	WP481	Insulin Signaling
TTDC00044	WP75	Toll-like receptor signaling pathway
TTDC00045	WP2877	Vitamin D Receptor Pathway
TTDC00046	WP1449	Regulation of toll-like receptor signaling pathway
TTDC00046	WP1533	Vitamin B12 Metabolism
TTDC00046	WP15	Selenium Micronutrient Network
TTDC00046	WP176	Folate Metabolism
TTDC00046	WP1838	Interleukin-1 processing
TTDC00046	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
TTDC00046	WP2018	RANKL/RANK Signaling Pathway
TTDC00046	WP2036	TWEAK Signaling Pathway
TTDC00046	WP2064	Neural Crest Differentiation
TTDC00046	WP2203	TSLP Signaling Pathway
TTDC00046	WP231	TNF alpha Signaling Pathway
TTDC00046	WP262	EBV LMP1 signaling
TTDC00046	WP2656	TAK1 activates NFkB by phosphorylation and activation of IKKs complex
TTDC00046	WP2794	Cytosolic sensors of pathogen-associated DNA
TTDC00046	WP2882	Nuclear Receptors Meta-Pathway
TTDC00046	WP706	SIDS Susceptibility Pathways
TTDC00046	WP710	DNA Damage Response (only ATM dependent)
TTDC00046	WP75	Toll-like receptor signaling pathway
TTDC00048	WP1772	Apoptosis Modulation and Signaling
TTDC00048	WP2003	miR-targeted genes in leukocytes - TarBase
TTDC00048	WP2004	miR-targeted genes in lymphocytes - TarBase
TTDC00048	WP2005	miR-targeted genes in muscle cell - TarBase
TTDC00048	WP254	Apoptosis
TTDC00050	WP2728	Incretin Synthesis, Secretion, and Inactivation
TTDC00051	WP1976	Signalling by NGF
TTDC00051	WP268	Notch Signaling Pathway
TTDC00051	WP2718	Signaling by NOTCH2
TTDC00051	WP2720	Signaling by NOTCH1
TTDC00051	WP2721	Signaling by NOTCH4
TTDC00051	WP2722	Signaling by NOTCH3
TTDC00051	WP2781	Signaling by ERBB4
TTDC00051	WP61	Notch Signaling Pathway
TTDC00052	WP138	Androgen receptor signaling pathway
TTDC00052	WP1982	SREBP signalling
TTDC00052	WP1984	Integrated Breast Cancer Pathway
TTDC00052	WP2011	SREBF and miR33 in cholesterol and lipid homeostasis
TTDC00052	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00053	WP558	Complement and Coagulation Cascades
TTDC00056	WP1449	Regulation of toll-like receptor signaling pathway
TTDC00056	WP2709	Trafficking and processing of endosomal TLR
TTDC00056	WP2768	MyD88 dependent cascade initiated on endosome
TTDC00056	WP2775	Toll-Like Receptors Cascades
TTDC00056	WP75	Toll-like receptor signaling pathway
TTDC00057	WP2788	Sphingolipid metabolism
TTDC00058	WP1422	Sphingolipid Metabolism
TTDC00058	WP26	Signal Transduction of S1P Receptor
TTDC00060	WP2743	Glycosaminoglycan metabolism
TTDC00062	WP15	Selenium Micronutrient Network
TTDC00062	WP167	Eicosanoid Synthesis
TTDC00062	WP2650	Arachidonic acid metabolism
TTDC00062	WP2882	Nuclear Receptors Meta-Pathway
TTDC00063	WP1455	Serotonin Transporter Activity
TTDC00063	WP1995	Effects of Nitric Oxide
TTDC00063	WP2059	Alzheimers Disease
TTDC00063	WP2431	Spinal Cord Injury
TTDC00063	WP2435	Quercetin and Nf-kB/ AP-1 Induced Cell Apoptosis
TTDC00063	WP2447	Amyotrophic lateral sclerosis (ALS)
TTDC00063	WP289	Myometrial Relaxation and Contraction Pathways
TTDC00063	WP727	Monoamine Transport
TTDC00064	WP1842	Kinesins
TTDC00064	WP2652	Mitotic Prometaphase
TTDC00064	WP2679	MHC class II antigen presentation
TTDC00064	WP2757	Mitotic Metaphase and Anaphase
TTDC00065	WP1784	Apoptotic execution phase
TTDC00065	WP2776	Visual phototransduction
TTDC00066	WP1528	Physiological and Pathological Hypertrophy of the Heart
TTDC00066	WP1809	Effects of PIP2 hydrolysis
TTDC00066	WP1824	GPCR downstream signaling
TTDC00066	WP2012	miRs in Muscle Cell Differentiation
TTDC00066	WP2374	Oncostatin M Signaling Pathway
TTDC00066	WP289	Myometrial Relaxation and Contraction Pathways
TTDC00066	WP35	G Protein Signaling Pathways
TTDC00066	WP399	Wnt Signaling Pathway and Pluripotency
TTDC00066	WP428	Wnt Signaling Pathway
TTDC00066	WP536	Calcium Regulation in the Cardiac Cell
TTDC00066	WP666	Hypothetical Network for Drug Addiction
TTDC00067	WP2709	Trafficking and processing of endosomal TLR
TTDC00067	WP2796	Class I MHC mediated antigen processing & presentation
TTDC00068	WP12	Osteoclast Signaling
TTDC00068	WP2018	RANKL/RANK Signaling Pathway
TTDC00069	WP170	Nuclear Receptors
TTDC00069	WP236	Adipogenesis
TTDC00069	WP2858	Ectoderm Differentiation
TTDC00069	WP2877	Vitamin D Receptor Pathway
TTDC00069	WP2882	Nuclear Receptors Meta-Pathway
TTDC00069	WP2884	NRF2 pathway
TTDC00069	WP299	Nuclear Receptors in Lipid Metabolism and Toxicity
TTDC00069	WP399	Wnt Signaling Pathway and Pluripotency
TTDC00070	WP237	Glucocorticoid & Mineralcorticoid Metabolism
TTDC00070	WP2749	Metabolism of steroid hormones and vitamin D
TTDC00070	WP98	Prostaglandin Synthesis and Regulation
TTDC00071	WP117	GPCRs, Other
TTDC00071	WP1824	GPCR downstream signaling
TTDC00071	WP1825	GPCR ligand binding
TTDC00071	WP1929	Thrombin signalling through proteinase activated receptors (PARs)
TTDC00071	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
TTDC00071	WP2849	Hematopoietic Stem Cell Differentiation
TTDC00071	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer
TTDC00071	WP2865	IL1 and megakaryotyces in obesity
TTDC00071	WP455	GPCRs, Class A Rhodopsin-like
TTDC00071	WP51	Regulation of Actin Cytoskeleton
TTDC00071	WP558	Complement and Coagulation Cascades
TTDC00072	WP1824	GPCR downstream signaling
TTDC00072	WP1825	GPCR ligand binding
TTDC00072	WP24	Peptide GPCRs
TTDC00072	WP455	GPCRs, Class A Rhodopsin-like
TTDC00073	WP1824	GPCR downstream signaling
TTDC00073	WP1825	GPCR ligand binding
TTDC00073	WP2355	Corticotropin-releasing hormone
TTDC00073	WP289	Myometrial Relaxation and Contraction Pathways
TTDC00073	WP334	GPCRs, Class B Secretin-like
TTDC00074	WP1824	GPCR downstream signaling
TTDC00074	WP1825	GPCR ligand binding
TTDC00074	WP2355	Corticotropin-releasing hormone
TTDC00074	WP334	GPCRs, Class B Secretin-like
TTDC00075	WP15	Selenium Micronutrient Network
TTDC00075	WP1851	Metabolism of nucleotides
TTDC00075	WP231	TNF alpha Signaling Pathway
TTDC00075	WP2763	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways
TTDC00075	WP2806	Human Complement System
TTDC00075	WP2824	Detoxification of Reactive Oxygen Species
TTDC00075	WP2882	Nuclear Receptors Meta-Pathway
TTDC00075	WP2884	NRF2 pathway
TTDC00076	WP129	Matrix Metalloproteinases
TTDC00076	WP1434	Osteopontin Signaling
TTDC00076	WP1539	Angiogenesis
TTDC00076	WP2036	TWEAK Signaling Pathway
TTDC00076	WP2324	AGE/RAGE pathway
TTDC00076	WP2431	Spinal Cord Injury
TTDC00076	WP2708	Degradation of collagen
TTDC00076	WP2769	Activation of Matrix Metalloproteinases
TTDC00076	WP2815	Mammary gland development pathway - Involution (Stage 4 of 4)
TTDC00076	WP2865	IL1 and megakaryotyces in obesity
TTDC00076	WP474	Endochondral Ossification
TTDC00077	WP1584	Type II diabetes mellitus
TTDC00077	WP1784	Apoptotic execution phase
TTDC00077	WP1809	Effects of PIP2 hydrolysis
TTDC00077	WP1824	GPCR downstream signaling
TTDC00077	WP1978	Opioid Signalling
TTDC00077	WP2012	miRs in Muscle Cell Differentiation
TTDC00077	WP2261	Signaling Pathways in Glioblastoma
TTDC00077	WP2324	AGE/RAGE pathway
TTDC00077	WP2355	Corticotropin-releasing hormone
TTDC00077	WP2374	Oncostatin M Signaling Pathway
TTDC00077	WP2380	BDNF signaling pathway
TTDC00077	WP23	B Cell Receptor Signaling Pathway
TTDC00077	WP244	Alpha 6 Beta 4 signaling pathway
TTDC00077	WP2688	DAG and IP3 signaling
TTDC00077	WP2733	Regulation of mRNA Stability by Proteins that Bind AU-rich Elements
TTDC00077	WP289	Myometrial Relaxation and Contraction Pathways
TTDC00077	WP35	G Protein Signaling Pathways
TTDC00077	WP364	IL-6 signaling pathway
TTDC00077	WP382	MAPK Signaling Pathway
TTDC00077	WP399	Wnt Signaling Pathway and Pluripotency
TTDC00077	WP428	Wnt Signaling Pathway
TTDC00077	WP437	EGF/EGFR Signaling Pathway
TTDC00077	WP481	Insulin Signaling
TTDC00077	WP536	Calcium Regulation in the Cardiac Cell
TTDC00077	WP619	Type II interferon signaling (IFNG)
TTDC00077	WP69	TCR Signaling Pathway
TTDC00078	WP1818	Formation of Fibrin Clot (Clotting Cascade)
TTDC00078	WP272	Blood Clotting Cascade
TTDC00078	WP2762	PTM: gamma carboxylation, hypusine formation and arylsulfatase activation
TTDC00078	WP558	Complement and Coagulation Cascades
TTDC00079	WP1824	GPCR downstream signaling
TTDC00079	WP1825	GPCR ligand binding
TTDC00079	WP455	GPCRs, Class A Rhodopsin-like
TTDC00079	WP727	Monoamine Transport
TTDC00080	WP1449	Regulation of toll-like receptor signaling pathway
TTDC00080	WP1533	Vitamin B12 Metabolism
TTDC00080	WP15	Selenium Micronutrient Network
TTDC00080	WP176	Folate Metabolism
TTDC00080	WP2036	TWEAK Signaling Pathway
TTDC00080	WP2203	TSLP Signaling Pathway
TTDC00080	WP231	TNF alpha Signaling Pathway
TTDC00080	WP236	Adipogenesis
TTDC00080	WP2431	Spinal Cord Injury
TTDC00080	WP2704	Interleukin-6 signaling
TTDC00080	WP2848	Differentiation Pathway
TTDC00080	WP2849	Hematopoietic Stem Cell Differentiation
TTDC00080	WP289	Myometrial Relaxation and Contraction Pathways
TTDC00080	WP364	IL-6 signaling pathway
TTDC00080	WP530	Cytokines and Inflammatory Response
TTDC00080	WP615	Senescence and Autophagy in Cancer
TTDC00080	WP69	TCR Signaling Pathway
TTDC00080	WP706	SIDS Susceptibility Pathways
TTDC00080	WP75	Toll-like receptor signaling pathway
TTDC00081	WP395	IL-4 Signaling Pathway
TTDC00081	WP453	Inflammatory Response Pathway
TTDC00082	WP1824	GPCR downstream signaling
TTDC00082	WP1825	GPCR ligand binding
TTDC00082	WP24	Peptide GPCRs
TTDC00082	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
TTDC00082	WP455	GPCRs, Class A Rhodopsin-like
TTDC00084	WP1840	Interleukin-3, 5 and GM-CSF signaling
TTDC00084	WP205	IL-7 Signaling Pathway
TTDC00084	WP22	IL-9 Signaling Pathway
TTDC00084	WP2374	Oncostatin M Signaling Pathway
TTDC00084	WP2673	Interleukin-7 signaling
TTDC00084	WP2732	Interleukin-2 signaling
TTDC00084	WP395	IL-4 Signaling Pathway
TTDC00084	WP49	IL-2 Signaling Pathway
TTDC00085	WP1798	Complement cascade
TTDC00085	WP2806	Human Complement System
TTDC00085	WP545	Complement Activation, Classical Pathway
TTDC00085	WP558	Complement and Coagulation Cascades
TTDC00086	WP167	Eicosanoid Synthesis
TTDC00086	WP1879	Phase 1 - Functionalization of compounds
TTDC00086	WP2650	Arachidonic acid metabolism
TTDC00086	WP98	Prostaglandin Synthesis and Regulation
TTDC00087	WP117	GPCRs, Other
TTDC00087	WP1824	GPCR downstream signaling
TTDC00087	WP1825	GPCR ligand binding
TTDC00087	WP24	Peptide GPCRs
TTDC00087	WP455	GPCRs, Class A Rhodopsin-like
TTDC00088	WP1530	miRNA Regulation of DNA Damage Response
TTDC00088	WP1775	Cell Cycle Checkpoints
TTDC00088	WP1782	APC/C-mediated degradation of cell cycle proteins
TTDC00088	WP179	Cell Cycle
TTDC00088	WP1815	Factors involved in megakaryocyte development and platelet production
TTDC00088	WP1858	Mitotic G1-G1/S phases
TTDC00088	WP1859	Mitotic G2-G2/M phases
TTDC00088	WP1898	Regulation of DNA replication
TTDC00088	WP1925	Synthesis of DNA
TTDC00088	WP1971	Integrated Cancer pathway
TTDC00088	WP1984	Integrated Breast Cancer Pathway
TTDC00088	WP2032	TSH signaling pathway
TTDC00088	WP2261	Signaling Pathways in Glioblastoma
TTDC00088	WP2263	Prostate Cancer
TTDC00088	WP2374	Oncostatin M Signaling Pathway
TTDC00088	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00088	WP2431	Spinal Cord Injury
TTDC00088	WP2446	Retinoblastoma (RB) in Cancer
TTDC00088	WP2516	ATM Signaling Pathway
TTDC00088	WP2586	Aryl Hydrocarbon Receptor
TTDC00088	WP2698	Meiotic Recombination
TTDC00088	WP2772	S Phase
TTDC00088	WP2785	M/G1 Transition
TTDC00088	WP2877	Vitamin D Receptor Pathway
TTDC00088	WP45	G1 to S cell cycle control
TTDC00088	WP466	DNA Replication
TTDC00088	WP53	ID signaling pathway
TTDC00088	WP707	DNA Damage Response
TTDC00089	WP1824	GPCR downstream signaling
TTDC00089	WP1825	GPCR ligand binding
TTDC00089	WP24	Peptide GPCRs
TTDC00089	WP455	GPCRs, Class A Rhodopsin-like
TTDC00090	WP1824	GPCR downstream signaling
TTDC00090	WP1825	GPCR ligand binding
TTDC00090	WP24	Peptide GPCRs
TTDC00090	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
TTDC00091	WP1851	Metabolism of nucleotides
TTDC00091	WP2002	miR-targeted genes in epithelium - TarBase
TTDC00091	WP2003	miR-targeted genes in leukocytes - TarBase
TTDC00091	WP2004	miR-targeted genes in lymphocytes - TarBase
TTDC00091	WP2006	miR-targeted genes in squamous cell - TarBase
TTDC00093	WP1824	GPCR downstream signaling
TTDC00093	WP1825	GPCR ligand binding
TTDC00093	WP2197	Endothelin Pathways
TTDC00093	WP334	GPCRs, Class B Secretin-like
TTDC00094	WP1544	MicroRNAs in cardiomyocyte hypertrophy
TTDC00094	WP1858	Mitotic G1-G1/S phases
TTDC00094	WP1859	Mitotic G2-G2/M phases
TTDC00094	WP1861	mRNA Capping
TTDC00094	WP1905	RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription
TTDC00094	WP1906	RNA Polymerase II Transcription
TTDC00094	WP1980	Nucleotide Excision Repair
TTDC00094	WP1984	Integrated Breast Cancer Pathway
TTDC00094	WP2658	HIV Life Cycle
TTDC00094	WP2772	S Phase
TTDC00094	WP2795	Cardiac Hypertrophic Response
TTDC00094	WP405	Eukaryotic Transcription Initiation
TTDC00094	WP45	G1 to S cell cycle control
TTDC00095	WP1544	MicroRNAs in cardiomyocyte hypertrophy
TTDC00095	WP1906	RNA Polymerase II Transcription
TTDC00095	WP22	IL-9 Signaling Pathway
TTDC00095	WP2658	HIV Life Cycle
TTDC00095	WP2684	Host Interactions of HIV factors
TTDC00095	WP2755	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
TTDC00095	WP2795	Cardiac Hypertrophic Response
TTDC00096	WP1533	Vitamin B12 Metabolism
TTDC00096	WP15	Selenium Micronutrient Network
TTDC00096	WP176	Folate Metabolism
TTDC00096	WP1836	Interferon gamma signaling
TTDC00096	WP183	Proteasome Degradation
TTDC00096	WP2328	Allograft Rejection
TTDC00096	WP2431	Spinal Cord Injury
TTDC00096	WP2840	Hair Follicle Development: Cytodifferentiation (Part 3 of 3)
TTDC00096	WP2865	IL1 and megakaryotyces in obesity
TTDC00096	WP2873	Aryl Hydrocarbon Receptor Pathway
TTDC00096	WP2882	Nuclear Receptors Meta-Pathway
TTDC00096	WP453	Inflammatory Response Pathway
TTDC00096	WP516	Hypertrophy Model
TTDC00096	WP530	Cytokines and Inflammatory Response
TTDC00096	WP560	TGF Beta Signaling Pathway
TTDC00096	WP615	Senescence and Autophagy in Cancer
TTDC00096	WP619	Type II interferon signaling (IFNG)
TTDC00097	WP1539	Angiogenesis
TTDC00097	WP1850	Metabolism of nitric oxide
TTDC00097	WP1995	Effects of Nitric Oxide
TTDC00097	WP2034	Leptin signaling pathway
TTDC00097	WP2197	Endothelin Pathways
TTDC00097	WP2324	AGE/RAGE pathway
TTDC00097	WP2355	Corticotropin-releasing hormone
TTDC00097	WP2593	JAK/STAT
TTDC00097	WP289	Myometrial Relaxation and Contraction Pathways
TTDC00097	WP437	EGF/EGFR Signaling Pathway
TTDC00097	WP554	ACE Inhibitor Pathway
TTDC00098	WP1794	Cell surface interactions at the vascular wall
TTDC00098	WP231	TNF alpha Signaling Pathway
TTDC00098	WP2806	Human Complement System
TTDC00099	WP1848	Metabolism of carbohydrates
TTDC00099	WP500	Glycogen Metabolism
TTDC00100	WP1824	GPCR downstream signaling
TTDC00100	WP1825	GPCR ligand binding
TTDC00100	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
TTDC00100	WP501	GPCRs, Class C Metabotropic glutamate, pheromone
TTDC00100	WP666	Hypothetical Network for Drug Addiction
TTDC00101	WP1539	Angiogenesis
TTDC00101	WP1797	Circadian Clock
TTDC00101	WP2324	AGE/RAGE pathway
TTDC00101	WP236	Adipogenesis
TTDC00101	WP2374	Oncostatin M Signaling Pathway
TTDC00101	WP2720	Signaling by NOTCH1
TTDC00101	WP2727	Regulation of Hypoxia-inducible Factor (HIF) by Oxygen
TTDC00101	WP2877	Vitamin D Receptor Pathway
TTDC00101	WP61	Notch Signaling Pathway
TTDC00101	WP706	SIDS Susceptibility Pathways
TTDC00102	WP12	Osteoclast Signaling
TTDC00102	WP1449	Regulation of toll-like receptor signaling pathway
TTDC00102	WP1528	Physiological and Pathological Hypertrophy of the Heart
